Fecha,Precio de Cierre,Volumen
2023-11-10,186.4,66177922
2023-11-09,182.41,53763540
2023-11-08,182.89,49340282
2023-11-07,181.82,70529966
2023-11-06,179.23,63841310
2023-11-03,176.65,79829246
2023-11-02,177.57,77334752
2023-11-01,173.97,56934906
2023-10-31,170.77,44846017
2023-10-30,170.29,51130955
2023-10-27,168.22,58499129
2023-10-26,166.89,70625258
2023-10-25,171.1,57156962
2023-10-24,173.44,43816644
2023-10-23,173,55980109
2023-10-20,172.88,64244028
2023-10-19,175.46,59302863
2023-10-18,175.84,54764375
2023-10-17,177.15,57549350
2023-10-16,178.72,52516984
2023-10-13,178.85,51456082
2023-10-12,180.71,56743119
